hour,P_solar,P_load,mode,E_batt,SoC,mission,location,ghi_daily_kwh_m2,panel_area_m2,mission_type,date_simulated
0,0.0,146.4,BATTERY_ASSIST,26.774736842105256,11.841988873111568,day,Palakkad,5.0,0.8,cruise_24h,2025-09-30
1,0.0,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Palakkad,5.0,0.8,cruise_24h,2025-09-30
2,0.0,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Palakkad,5.0,0.8,cruise_24h,2025-09-30
3,0.0,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Palakkad,5.0,0.8,cruise_24h,2025-09-30
4,0.0,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Palakkad,5.0,0.8,cruise_24h,2025-09-30
5,0.0,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Palakkad,5.0,0.8,cruise_24h,2025-09-30
6,0.0,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Palakkad,5.0,0.8,cruise_24h,2025-09-30
7,20.97606133644956,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Palakkad,5.0,0.8,cruise_24h,2025-09-30
8,40.522638757400436,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Palakkad,5.0,0.8,cruise_24h,2025-09-30
9,57.307665313861335,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Palakkad,5.0,0.8,cruise_24h,2025-09-30
10,70.18726918457732,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Palakkad,5.0,0.8,cruise_24h,2025-09-30
11,78.28372665031088,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Palakkad,5.0,0.8,cruise_24h,2025-09-30
12,81.04527751480089,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Palakkad,5.0,0.8,cruise_24h,2025-09-30
13,78.28372665031088,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Palakkad,5.0,0.8,cruise_24h,2025-09-30
14,70.18726918457732,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Palakkad,5.0,0.8,cruise_24h,2025-09-30
15,57.307665313861335,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Palakkad,5.0,0.8,cruise_24h,2025-09-30
16,40.522638757400436,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Palakkad,5.0,0.8,cruise_24h,2025-09-30
17,20.976061336449586,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Palakkad,5.0,0.8,cruise_24h,2025-09-30
18,9.925183969450985e-15,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Palakkad,5.0,0.8,cruise_24h,2025-09-30
19,0.0,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Palakkad,5.0,0.8,cruise_24h,2025-09-30
20,0.0,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Palakkad,5.0,0.8,cruise_24h,2025-09-30
21,0.0,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Palakkad,5.0,0.8,cruise_24h,2025-09-30
22,0.0,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Palakkad,5.0,0.8,cruise_24h,2025-09-30
23,0.0,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Palakkad,5.0,0.8,cruise_24h,2025-09-30
0,0.0,146.4,BATTERY_ASSIST,26.774736842105256,11.841988873111568,day,Jaisalmer,5.39,0.8,cruise_24h,2025-09-30
1,0.0,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Jaisalmer,5.39,0.8,cruise_24h,2025-09-30
2,0.0,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Jaisalmer,5.39,0.8,cruise_24h,2025-09-30
3,0.0,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Jaisalmer,5.39,0.8,cruise_24h,2025-09-30
4,0.0,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Jaisalmer,5.39,0.8,cruise_24h,2025-09-30
5,0.0,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Jaisalmer,5.39,0.8,cruise_24h,2025-09-30
6,0.0,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Jaisalmer,5.39,0.8,cruise_24h,2025-09-30
7,22.612194120692628,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Jaisalmer,5.39,0.8,cruise_24h,2025-09-30
8,43.68340458047767,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Jaisalmer,5.39,0.8,cruise_24h,2025-09-30
9,61.777663208342524,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Jaisalmer,5.39,0.8,cruise_24h,2025-09-30
10,75.66187618097436,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Jaisalmer,5.39,0.8,cruise_24h,2025-09-30
11,84.38985732903514,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Jaisalmer,5.39,0.8,cruise_24h,2025-09-30
12,87.36680916095536,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Jaisalmer,5.39,0.8,cruise_24h,2025-09-30
13,84.38985732903514,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Jaisalmer,5.39,0.8,cruise_24h,2025-09-30
14,75.66187618097436,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Jaisalmer,5.39,0.8,cruise_24h,2025-09-30
15,61.777663208342524,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Jaisalmer,5.39,0.8,cruise_24h,2025-09-30
16,43.68340458047767,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Jaisalmer,5.39,0.8,cruise_24h,2025-09-30
17,22.612194120692653,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Jaisalmer,5.39,0.8,cruise_24h,2025-09-30
18,1.0699348319068163e-14,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Jaisalmer,5.39,0.8,cruise_24h,2025-09-30
19,0.0,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Jaisalmer,5.39,0.8,cruise_24h,2025-09-30
20,0.0,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Jaisalmer,5.39,0.8,cruise_24h,2025-09-30
21,0.0,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Jaisalmer,5.39,0.8,cruise_24h,2025-09-30
22,0.0,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Jaisalmer,5.39,0.8,cruise_24h,2025-09-30
23,0.0,146.4,BATTERY_EMERGENCY,0.0,0.0,day,Jaisalmer,5.39,0.8,cruise_24h,2025-09-30
